id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1398000865303166986,Thu May 27 19:39:14 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,oktaviannanda,False,,howtodresvvell,"Bali, Indonesia",
1398000831635415042,Thu May 27 19:39:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@howtodresvvell Sejauh ini sicepat jd salah satu ekspedisi yang paling sering gw pake, kedua baru jnt",sicepat salah ekspedisi paling pakai jnt,in,0,0,vanillahzlnt,,,howtodresvvell,,
1398000729126694912,Thu May 27 19:38:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,PradiptaDicky67,False,,howtodresvvell,DreamLand,
1398000557671940096,Thu May 27 19:38:01 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,EITIRED,False,,howtodresvvell,"she/her, 21, canitwt",
1398000444811538432,Thu May 27 19:37:34 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres Okok. Aku tunggu update nya ya. Makasih~,okok tunggu update nya terima kasih,in,0,0,karinajiang_,,,sicepat_ekspres,,
1398000342684475396,Thu May 27 19:37:09 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,sunmoonandcloud,False,,howtodresvvell,all around you,
1398000278440333312,Thu May 27 19:36:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@howtodresvvell emang mantap sicepat, ga lembek sama penindas kurir nya. ga kaya ekspedisi lain langsung jalur kekeluargaan tai anjing",mantap sicepat ga lembek penindas kurir nya ga kaya ekspedisi jalur kekeluargaan tai anjing,in,1,0,alardoathan,,,howtodresvvell,"Jakarta Selatan, DKI Jakarta",
1398000275055542279,Thu May 27 19:36:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,lupiyati17,False,,howtodresvvell,"Jawa Tengah, Indonesia",
1398000011992911873,Thu May 27 19:35:51 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @heeburans: MANTAP!!! Pendampingan untuk kurirnya kalau diperlukan juga kak @sicepat_ekspres. 👍 https://t.co/jz9FggbOyD,mantap pendampingan kurirnya kak,in,0,356,xhukaitani,False,,"heeburans, sicepat_ekspres","Pekan Baru, Riau",
1397999950395363333,Thu May 27 19:35:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,Banabail,False,,howtodresvvell,"Kota Kediri, Indonesia",
1397999655850364928,Thu May 27 19:34:26 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@karinajiang_ 002536519211 Hi kak, mohon maaf sebelumnya,  untuk paket ini sudah  keluar dari  Batam, kami akan maksimalkan kembali proses pengirimannya, mohon ditunggu updatenya, terimakasih ^",hai kak mohon maaf paket keluar batam maksimalkan proses pengirimannya mohon ditunggu updatenya terimakasih,in,0,0,sicepat_ekspres,,,karinajiang_,Indonesia,
1397999579719639040,Thu May 27 19:34:08 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,aetheraz,False,,howtodresvvell,🌈,
1397999371073949698,Thu May 27 19:33:18 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,aluna_kim,False,,howtodresvvell,,
1397999097706020864,Thu May 27 19:32:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,muthiakharisma,False,,howtodresvvell,Earth,
1397999069688078336,Thu May 27 19:32:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,DahBuseeeet,False,,howtodresvvell,"Liverpool, England",
1397998857519173633,Thu May 27 19:31:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,dimasmay26,False,,howtodresvvell,di bawah perut,
1397998782000758785,Thu May 27 19:30:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres  min, paketku dgn no resi 002536519211 statusnya hampir seminggu ga update dong. Tolong dicek.",min paketku resi statusnya hampir seminggu ga update dicek,in,0,0,karinajiang_,,,sicepat_ekspres,,
1397998348024483842,Thu May 27 19:29:14 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,worwanarat,True,,howtodresvvell,"ca/fa, before you follow ➡️",
1397998331696082944,Thu May 27 19:29:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Is it? Okaaay, welcome sicepat! https://t.co/Q4VZRdkG5v",is it okaaay welcome sicepat,en,0,0,peripvera,False,,,law stud.,
1397998273227464706,Thu May 27 19:28:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,ohfairysehun,False,,howtodresvvell,she/her,
1397998170722820097,Thu May 27 19:28:32 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@salohcinabmiw @heeburans @sicepat_ekspres KBBInya kak 😊 https://t.co/oLrQEEsxD3,kbbinya kak,in,0,0,EliPrastiwi,False,,"salohcinabmiw, heeburans, sicepat_ekspres","Aix-en-Provence, France",
1397998126166732801,Thu May 27 19:28:21 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,sheikalilyasa_,False,,howtodresvvell,"Yogyakarta, Indonesia",
1397997792295981056,Thu May 27 19:27:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,bintikkk_,False,,howtodresvvell,,
1397997743436570625,Thu May 27 19:26:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,trashyscars,False,,howtodresvvell,📍pa/fa,
1397997729998016514,Thu May 27 19:26:47 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,devaguillot,False,,howtodresvvell,,
