,clean_text
67,aslii tunggu siang konfirmasi gk diproses datengin gudang 
68,teman teman paketnya nyangkut gila deh bad service banget teman temancu pakai daripda naek darah 
69,halo bangun siang coba koordinasi deh bagian klem oke oya mbak anggun kataya care 
70,halo min layanan packaging tidak ngirim barang pakai bungkus plastik bening disana dibungkus 
71,resi jtrkirim dr tanggl resi tracking tracking tulisannya resi tidak selambat memang memasukkan resi sistem 
72,terlambat tutup solusi omdo 
73,pagi kak admin cek paketnya kota tujuan semarang menunggu jadwal pengantaran mohon ditunggu kak estimasi maksimalnya pengiriman cek pengiriman 
74,halo kak triantika admin mohon maaf sdh membuat kakak tidak nyaman pelayanan admin yuli sdh proses laporannya via dm mohon dicek terima kasih aily 
75,pagi diproses 
76,tuh diproses proses pengirimannya 
77,min paket dikirim kaubun kaltim dinyatakan hilang ajukan klaim hilang paket pusat jakarta berkas tangerang prosesnya 
78,min kirim paket dr jawa aceh pakai jtr paket kg kira kena tarif kg kg baca web minimal kgtapi belanja shopee pakai jtr kg harga kg 
79,cerita pelayanan kargo jtr ntr barang tidak dikirim benar benar kecewa banget 
80,kirim barang trucking tangerang mamuju sulawesi barat pengirimannya 
81,halo min mohon bantu cek jnat status diterima tapu sdsi kurir dateng makasii 
82,dikerenakan kiriman obat malaysia penerima memiliki izin moh kementrian kesehatan malaysia tidak diproses penerusannya kak mohon ditunggu proses retur kak terima kasih opal 
83,hai kak mohon maaf permasalahan dialami mimin cek resi kirimannya laporannya informasi laporannya kirimannya proses pereturan keagen awal pengirimannya 
84,teman kirim vitamin hingga terima tracking mohon solusi 
85,barusan telpon kurirnya ga ga alamat rumah suruh ambil kantor 
86,sore kak wahyu mohon maaf yaa informasi kakak tidak nyaman admin cek kirimannya diproses mohon ditunggu estimasi kirimannya maksimal ditanggal cek pengiriman berkala 
87,claim nya 
88,status terkirim barang nama penerima beda cek resi 
89,gelo wkwk gmn 
90,punten kakak cc resi yes kirim siang habis zuhur ko lumayan lho ongkirnya bilangnya yes urgent banget isinya haduuuh 
91,halo selamat pagisaya tentag paket nomor resi jt status shopee damage case 
92,halo selamat pagisaya tentag paket nomor resi jt status shopee damage case 
93,kacau paket yes gadiperhatiin pantes pengiriman terlambat 
94,sih register mah hmm 
95,respon sorting center surabaya tidak ditelpon merugikan seller gini malas aktifkan marketplace 
96,iku pilihan nek wis dunia iki gaono hmmmz 
97,pas iko paketku sing terpaksa kerja e ketelisut ga gerak wekmu tidak parani ning warehouse malang telpon call center e ping sewu karo tidak kerja ramai kantor e barangku e metu ga suwe ngenteni sekarat 
98,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab 
99,tidak bukan seminggu kurir nyampe 
100,halo nyediain fasilitas vacuum packing ga 
101,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab 
102,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab selaras doa doa sifat ajaran kristus doa cepat terkabul selamat beribadah menjalankan 
103,terima kasih barang diantarkan malam pegawai terdekat semalam menghubungi wa kedepannya pegawai lbh effort kerja malas an kerjakan kerjaan sop 
104,halo paket dikirim kurir mlm katanya rumah kosong dirumah kurirnya nganter krumah jt cek resi kan kurir dianter krumah 
105,estimasi tanggal dikirim aneh 
106,malam kak jen adm cek paket nomor resi tsb dalam proses pemberangkatan kota tujuan masuk kota tujuan mohon tunggu estimasi service register tracking kiriman kakak cek 
107,hallo mohon cek dm 
108,kirim barangnya resi estimasi kota molor kebiasaan lambat 
109,ngirim baju lebaran anak pakai nyampe eeh giliran kirim hp ribet pdhl penulisan alamat ooh 
110,seamat menjalankan shalat jumat beragama islam 
111,nya kepencet dijadiin kurir andai tangan nyangkut efek rebutan barang promo hapus 
112,ga diakses gini 
113,malam admin konfirmasi tracking paket pesan mei akun akulaku lokasi tokonya jakarta pusat alamat rumah tangerang selatan terkirim samarinda nama penerima berbeda 
114,branch sampang madura manejerialnya diperbaiki counter utama sampang kurirnya ngeselin 
115,resi nomor tjx pakai yes barang cek tracking keterangannya libur kantor buka seminggu 
116,ah parah banget diinstruksi packing kayu tidak alhasil device gamenya pecaah fak banget menangis anjing 
117,cek dm tidak balas mohon pertanggungjawaban paket 
