,id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
86,1400000536607264776,Wed Jun 02 08:05:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Demen dah gue ni sama @sicepat_ekspres . Ngincer ongkir murah di sopi pake sicepat halu, sampenya kok sama aja kya yg reguler. Cucok deh ❤️",suka deh ngincer ongkos kirim murah sopi pakai sicepat halu sampenya kya reguler cocok deh,in,0,0,heyydikaa,,,sicepat_ekspres,semarang,
87,1399997987758116865,Wed Jun 02 07:55:05 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@Zesh0_1 baik kak, untuk nomor resi tsb masuk dalam pickup hari ini ya kak. Resi akan di update di website kami di H+1 setelah pickup. Terima kasih ^",kak nomor resi tsb masuk dalam pickup kak resi update website h pickup terima kasih,in,0,0,sicepat_ekspres,,,Zesh0_1,Indonesia,
88,1399997609733808130,Wed Jun 02 07:53:35 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@radit0105  002706196249 Baik Kak, mohon kesediaannya untuk menunggu proses pengiriman dan update informasi terbarunya ya ka, terima kasih ^Agent",kak mohon kesediaannya menunggu proses pengiriman update informasi terbarunya kakak terima kasih agent,in,0,0,sicepat_ekspres,,,radit0105,Indonesia,
89,1399996933297500163,Wed Jun 02 07:50:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres Follow Up dong,follow up,en,0,0,Zesh0_1,,,sicepat_ekspres,"Gresik, Indonesia",
90,1399996600429080578,Wed Jun 02 07:49:34 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@Zesh0_1 Baik kaka , mohon maaf atas kendala yang terjadi ya ka ,dimana maksimal waktu update 1x24 jam ya ka . mohon ditunggu ya ka ,Terima Kasih ^",kakak mohon maaf kendala kakak maksimal update x jam kakak mohon ditunggu kakak terima kasih,in,0,0,sicepat_ekspres,,,Zesh0_1,Indonesia,
91,1399996578216124417,Wed Jun 02 07:49:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@choc0pi3 @markbitee @njmcity00 Mengsedih mengjleb pula klo gue gk bisa gk marah sma sicepat si kak,mengsedih mengjleb gk gk marah sicepat si kak,in,0,0,GeniaNessa,,,"choc0pi3, markbitee, njmcity00",,
92,1399996307050143746,Wed Jun 02 07:48:24 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>",@NaufalDTA  002541519116 Hai Kak. Mengenai status pengiriman Kakak. Kami cek posisi paket Kakak sudah di terima di Bondowoso pada tanggal 02 Juni 2021. Mohon kesediaan Kakak untuk menunggu terlebih dahulu dan pastikan nomor telepon Kakak dalam keadaan aktif. Terima kasih ^,hai kak status pengiriman kakak cek posisi paket kakak terima bondowoso tanggal mohon kesediaan kakak menunggu pastikan nomor telepon kakak dalam keadaan aktif terima kasih,in,0,0,sicepat_ekspres,,,NaufalDTA,Indonesia,
93,1399995968192270336,Wed Jun 02 07:47:04 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sicepat_ekspres Saya capek konfirmasi mulu, jawaban tidak ada yg memuaskan sudah 2 hari konfirmasi, cuma jawaban standar seorang CS itu2 mulu. Kalau emang barang saya hilang saya akan klaim asuransi dari @tokopedia, mudah2an kalau ngajuin klaim asuransi ngk ribet.",capek konfirmasi melulu tidak memuaskan konfirmasi standar cs melulu barang hilang klaim asuransi mudah an ngajuin klaim asuransi ngk ribet,in,0,0,radit0105,,,"sicepat_ekspres, tokopedia",Padang - DKI Jakarta,
94,1399995846301687808,Wed Jun 02 07:46:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres Sudah, dari jam 09.27 tadi tapi sekarang tidak ada update lagi",jam tidak update,in,0,0,Zesh0_1,,,sicepat_ekspres,"Gresik, Indonesia",
95,1399995516390309892,Wed Jun 02 07:45:16 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@Zesh0_1 002707240642 Mohon maaf sebelumnya, apakah untuk paket dengan nomor resi tersebut sudah di pickup oleh kurir kami ka? Terimakasih ^",mohon maaf paket nomor resi pickup kurir kakak terimakasih,in,0,0,sicepat_ekspres,,,Zesh0_1,Indonesia,
