id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1398098702514851841,Fri May 28 02:08:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@seftiyaaaa Halo ka, mohon maaf atas ketidaknyamanannya. Berdasarkan status paket tsb, saat ini paket sudah di pickup dan sedang on process menuju  DC_SOLOKPANDAN per tgl 28 Mei, mohon kesediaannya untuk menunggu ka, terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb paket pickup on process menuju dc solokpandan tanggal mei mohon kesediaannya menunggu kakak terima kasih,in,0,0,jntexpressid,,,seftiyaaaa,Indonesia,
1398098317486137345,Fri May 28 02:06:28 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@justaweirdgrll Halo ka, mohon maaf atas ketidaknyamanannya. Akan mimin bantu cek dan follow up dgn pihak terkait terlebih dahulu, mohon kesediaannya untuk menunggu ka, terima kasih :)",halo kakak mohon maaf ketidaknyamanannya mimin bantu cek follow up terkait mohon kesediaannya menunggu kakak terima kasih,in,0,0,jntexpressid,,,justaweirdgrll,Indonesia,
1398097383364259841,Fri May 28 02:02:46 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@apamengapa15 Halo ka, mohon maaf atas ketidaknyamanannya. Untuk status paket tsb dapat terlacak dan saat ini paket sedang on process menuju DC_CIKARANG_BARAT per tgl 28 Mei, mohon kesediaanya untuk menunggu ka, terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb terlacak paket on process menuju dc cikarang barat tanggal mei mohon kesediaanya menunggu kakak terima kasih,in,0,0,jntexpressid,,,apamengapa15,Indonesia,
1398095877466587141,Fri May 28 01:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jntexpressid kenapa gak bisa di cek resinya ..  JP4374712217 https://t.co/RPgBoscJ3T,tidak cek resinya jp,in,0,0,imam151197,False,,jntexpressid,"Blitar, Jawa Timur",
1398095008155148289,Fri May 28 01:53:19 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid Min kok paket JD0123322066 gak bisa di lacak ya? padahal kemarin bisa? https://t.co/T686OyOfbk,min paket tidak lacak,in,0,0,apamengapa15,False,,jntexpressid,,
1398094682165440512,Fri May 28 01:52:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","no resi JP5780933268 
mohon di bantu @jntexpressid",resi jp mohon bantu,in,0,0,lenxsx,,,jntexpressid,"Jakarta, Indonesia",
1398094565014343681,Fri May 28 01:51:34 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tolong di bantu pengecekan sudah 8 hari paket belum di terima @jntexpressid track terakhir gateway dan hub no yang gateway bersangkutan hanya di baca. di status terakhir penerima tlp tidak bisa di hub, sedangkan penerima mengatakan belum menerima chat atau panggilan dari kurir. https://t.co/jZx9A4niIr",bantu pengecekan paket terima track gateway hub gateway bersangkutan baca status penerima telepon tidak hub penerima menerima chat panggilan kurir,in,0,0,lenxsx,True,,jntexpressid,"Jakarta, Indonesia",
1398092070976245763,Fri May 28 01:41:39 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@jntexpressid no resi JD0123279247 nyasar ke kab wonosobo. Harusnya kab tanggamus. Tolong di cek ya,resi tersesat kabupaten wonosobo kabupaten tanggamus cek,in,0,0,rutaCukamaN,,,jntexpressid,"Ciputat, Indonesia",
1398091223999549440,Fri May 28 01:38:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cxnnamonroll @jntexpressid Nice taken,nice taken,en,0,0,mafanisakti,,,"cxnnamonroll, jntexpressid",,
1398088346136547331,Fri May 28 01:26:51 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid Min saya mau pickup paket, tPi kurirnya dari kemaren belom dateng",min pickup paket kurirnya dateng,in,0,0,sindyyanns,,,jntexpressid,,
1398084314701520897,Fri May 28 01:10:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid Brp lama sy harus menunggu?,menunggu,in,0,0,Ucchiekaa,,,jntexpressid,"makassar, Indonesia",
